# JMH version: 1.37
# VM version: JDK 21.0.10, OpenJDK 64-Bit Server VM, 21.0.10+7-LTS
# VM invoker: /usr/lib/jvm/java-21-amazon-corretto.x86_64/bin/java
# VM options: -Xint
# Blackhole mode: compiler (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 3 iterations, 1 s each
# Measurement: 100 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: com.benchmark.DispatchBenchmarkNoJIT.chainDepth128

# Run progress: 0.00% complete, ETA 00:15:27
# Fork: 1 of 1
# Warmup Iteration   1: 64.711 ns/op
# Warmup Iteration   2: 65.426 ns/op
# Warmup Iteration   3: 64.696 ns/op
Iteration  37: 64.416 ns/op
Iteration  38: 64.466 ns/op
Iteration  39: 64.492 ns/op
Iteration  40: 64.481 ns/op
Iteration  41: 64.453 ns/op
Iteration  42: 64.422 ns/op
Iteration  43: 64.418 ns/op
Iteration  44: 64.451 ns/op
Iteration  45: 64.460 ns/op
Iteration  46: 64.427 ns/op
Iteration  47: 64.469 ns/op
Iteration  48: 64.495 ns/op
Iteration  49: 66.324 ns/op
Iteration  50: 64.466 ns/op
Iteration  51: 64.453 ns/op
Iteration  52: 64.462 ns/op
Iteration  53: 64.450 ns/op
Iteration  54: 64.590 ns/op
Iteration  55: 64.485 ns/op
Iteration  56: 64.437 ns/op
Iteration  57: 64.539 ns/op
Iteration  58: 64.464 ns/op
Iteration  59: 64.445 ns/op
Iteration  60: 64.541 ns/op
Iteration  61: 64.426 ns/op
Iteration  62: 64.538 ns/op
Iteration  63: 64.504 ns/op
Iteration  64: 64.503 ns/op
Iteration  65: 64.455 ns/op
Iteration  66: 64.504 ns/op
Iteration  67: 64.644 ns/op
Iteration  68: 64.453 ns/op
Iteration  69: 64.419 ns/op
Iteration  70: 64.461 ns/op
Iteration  71: 64.431 ns/op
Iteration  72: 64.445 ns/op
Iteration  73: 64.428 ns/op
Iteration  74: 64.486 ns/op
Iteration  75: 64.738 ns/op
Iteration  76: 64.506 ns/op
Iteration  77: 64.873 ns/op
Iteration  78: 64.475 ns/op
Iteration  79: 64.681 ns/op
Iteration  80: 64.453 ns/op
Iteration  81: 64.500 ns/op
Iteration  82: 64.611 ns/op
Iteration  83: 64.434 ns/op
Iteration  84: 64.459 ns/op
Iteration  85: 64.416 ns/op
Iteration  86: 64.423 ns/op
Iteration  87: 64.430 ns/op
Iteration  88: 64.435 ns/op
Iteration  89: 64.421 ns/op
Iteration  90: 64.508 ns/op
Iteration  91: 64.427 ns/op
Iteration  92: 64.439 ns/op
Iteration  93: 65.243 ns/op
Iteration  94: 64.613 ns/op
Iteration  95: 64.422 ns/op
Iteration  96: 64.444 ns/op
Iteration  97: 64.448 ns/op
Iteration  98: 64.420 ns/op
Iteration  99: 64.422 ns/op
Iteration 100: 64.440 ns/op


Result "com.benchmark.DispatchBenchmarkNoJIT.chainDepth16":
  64.546 ±(99.9%) 0.118 ns/op [Average]
  (min, avg, max) = (64.416, 64.546, 67.247), stdev = 0.349
  CI (99.9%): [64.427, 64.664] (assumes normal distribution)


# JMH version: 1.37
# VM version: JDK 21.0.10, OpenJDK 64-Bit Server VM, 21.0.10+7-LTS
# VM invoker: /usr/lib/jvm/java-21-amazon-corretto.x86_64/bin/java
# VM options: -Xint
# Blackhole mode: compiler (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 3 iterations, 1 s each
# Measurement: 100 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: com.benchmark.DispatchBenchmarkNoJIT.chainDepth2

# Run progress: 22.22% complete, ETA 00:12:03
# Fork: 1 of 1
# Warmup Iteration   1: 64.937 ns/op
# Warmup Iteration   2: 65.103 ns/op
# Warmup Iteration   3: 64.949 ns/op
Iteration   1: 64.931 ns/op
Iteration   2: 64.940 ns/op
Iteration   3: 64.942 ns/op
Iteration   4: 64.944 ns/op
Iteration   5: 64.936 ns/op
Iteration   6: 64.944 ns/op
Iteration   7: 65.000 ns/op
Iteration   8: 64.941 ns/op
Iteration   9: 64.932 ns/op
Iteration  10: 64.932 ns/op
Iteration  11: 64.916 ns/op
Iteration  12: 64.931 ns/op
