# JMH version: 1.37
# VM version: JDK 21.0.10, OpenJDK 64-Bit Server VM, 21.0.10+7-LTS
# VM invoker: /usr/lib/jvm/java-21-amazon-corretto.x86_64/bin/java
# VM options: -Xint
# Blackhole mode: compiler (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 3 iterations, 1 s each
# Measurement: 100 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: com.benchmark.DispatchBenchmarkNoJIT.chainDepth128

# Run progress: 0.00% complete, ETA 00:15:27
# Fork: 1 of 1
# Warmup Iteration   1: 65.393 ns/op
# Warmup Iteration   2: 65.421 ns/op
# Warmup Iteration   3: 65.478 ns/op
Iteration   1: 65.458 ns/op
Iteration   2: 65.480 ns/op
Iteration   3: 65.462 ns/op
Iteration   4: 65.545 ns/op
Iteration   5: 65.469 ns/op
Iteration   6: 65.474 ns/op
Iteration   7: 65.557 ns/op
Iteration   8: 65.490 ns/op
Iteration   9: 65.507 ns/op
Iteration  10: 65.464 ns/op
Iteration  11: 65.599 ns/op
Iteration  12: 65.509 ns/op
Iteration  13: 65.466 ns/op
Iteration  14: 65.472 ns/op
Iteration  15: 65.484 ns/op
Iteration  16: 65.466 ns/op
Iteration  17: 65.503 ns/op
Iteration  18: 65.505 ns/op
Iteration  19: 65.489 ns/op
Iteration  20: 65.485 ns/op
Iteration  21: 65.585 ns/op
Iteration  22: 65.483 ns/op
Iteration  23: 65.708 ns/op
Iteration  24: 65.482 ns/op
Iteration  25: 65.478 ns/op
Iteration  26: 65.485 ns/op
Iteration  27: 65.483 ns/op
Iteration  28: 65.478 ns/op
Iteration  29: 65.458 ns/op
Iteration  30: 65.477 ns/op
Iteration  31: 65.483 ns/op
Iteration  32: 65.483 ns/op
Iteration  33: 65.883 ns/op
Iteration  34: 65.505 ns/op
Iteration  35: 65.501 ns/op
Iteration  36: 65.472 ns/op
Iteration  37: 65.469 ns/op
Iteration  38: 65.495 ns/op
Iteration  39: 65.486 ns/op
Iteration  40: 65.491 ns/op
Iteration  41: 65.483 ns/op
Iteration  42: 65.490 ns/op
Iteration  43: 65.499 ns/op
Iteration  44: 65.475 ns/op
Iteration  45: 65.487 ns/op
Iteration  46: 65.463 ns/op
Iteration  47: 65.488 ns/op
Iteration  48: 65.500 ns/op
Iteration  49: 65.485 ns/op
Iteration  50: 65.548 ns/op
Iteration  51: 65.494 ns/op
Iteration  52: 65.484 ns/op
Iteration  53: 65.506 ns/op
Iteration  54: 65.502 ns/op
Iteration  55: 65.464 ns/op
Iteration  56: 65.456 ns/op
Iteration  57: 65.497 ns/op
Iteration  58: 65.485 ns/op
Iteration  59: 65.505 ns/op
Iteration  60: 65.501 ns/op
Iteration  61: 65.478 ns/op
Iteration  62: 65.484 ns/op
Iteration  63: 65.484 ns/op
Iteration  64: 65.479 ns/op
Iteration  65: 65.516 ns/op
Iteration  66: 65.451 ns/op
Iteration  67: 65.532 ns/op
Iteration  68: 65.468 ns/op
Iteration  69: 65.463 ns/op
Iteration  70: 65.470 ns/op
Iteration  71: 65.492 ns/op
Iteration  72: 65.472 ns/op
Iteration  73: 65.487 ns/op
Iteration  74: 65.468 ns/op
Iteration  75: 65.476 ns/op
Iteration  76: 65.464 ns/op
Iteration  77: 65.470 ns/op
Iteration  78: 65.476 ns/op
Iteration  79: 65.479 ns/op
Iteration  80: 65.462 ns/op
Iteration  81: 65.481 ns/op
Iteration  82: 65.524 ns/op
Iteration  83: 65.487 ns/op
Iteration  84: 65.544 ns/op
Iteration  85: 65.513 ns/op
Iteration  86: 65.479 ns/op
Iteration  87: 65.478 ns/op
Iteration  88: 65.462 ns/op
Iteration  89: 65.469 ns/op
Iteration  90: 65.498 ns/op
Iteration  91: 65.485 ns/op
Iteration  92: 65.535 ns/op
Iteration  93: 65.579 ns/op
Iteration  94: 65.504 ns/op
Iteration  95: 65.577 ns/op
Iteration  96: 65.502 ns/op
Iteration  97: 65.484 ns/op
Iteration  98: 65.472 ns/op
Iteration  99: 65.463 ns/op
Iteration 100: 65.453 ns/op


Result "com.benchmark.DispatchBenchmarkNoJIT.chainDepth128":
  65.496 ±(99.9%) 0.018 ns/op [Average]
  (min, avg, max) = (65.451, 65.496, 65.883), stdev = 0.053
  CI (99.9%): [65.478, 65.514] (assumes normal distribution)


# JMH version: 1.37
# VM version: JDK 21.0.10, OpenJDK 64-Bit Server VM, 21.0.10+7-LTS
# VM invoker: /usr/lib/jvm/java-21-amazon-corretto.x86_64/bin/java
# VM options: -Xint
# Blackhole mode: compiler (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 3 iterations, 1 s each
# Measurement: 100 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: com.benchmark.DispatchBenchmarkNoJIT.chainDepth16

# Run progress: 11.11% complete, ETA 00:13:47
# Fork: 1 of 1
# Warmup Iteration   1: 64.504 ns/op
# Warmup Iteration   2: 64.675 ns/op
# Warmup Iteration   3: 64.485 ns/op
Iteration   1: 64.458 ns/op
Iteration   2: 64.455 ns/op
Iteration   3: 64.514 ns/op
Iteration   4: 64.670 ns/op
Iteration   5: 64.435 ns/op
Iteration   6: 64.426 ns/op
Iteration   7: 64.450 ns/op
Iteration   8: 64.465 ns/op
Iteration   9: 64.449 ns/op
Iteration  10: 66.311 ns/op
Iteration  11: 64.431 ns/op
Iteration  12: 64.647 ns/op
Iteration  13: 64.458 ns/op
Iteration  14: 64.463 ns/op
Iteration  15: 64.459 ns/op
Iteration  16: 64.454 ns/op
Iteration  17: 64.463 ns/op
Iteration  18: 64.635 ns/op
Iteration  19: 64.429 ns/op
Iteration  20: 64.496 ns/op
Iteration  21: 64.508 ns/op
Iteration  22: 64.472 ns/op
Iteration  23: 64.520 ns/op
Iteration  24: 64.449 ns/op
Iteration  25: 64.453 ns/op
Iteration  26: 64.456 ns/op
Iteration  27: 64.573 ns/op
Iteration  28: 64.467 ns/op
Iteration  29: 64.495 ns/op
Iteration  30: 64.500 ns/op
Iteration  31: 64.440 ns/op
Iteration  32: 64.477 ns/op
Iteration  33: 64.900 ns/op
Iteration  34: 64.445 ns/op
Iteration  35: 64.439 ns/op
Iteration  36: 64.437 ns/op
Iteration  37: 64.449 ns/op
Iteration  38: 64.443 ns/op
Iteration  39: 64.441 ns/op
Iteration  40: 64.451 ns/op
Iteration  41: 64.444 ns/op
Iteration  42: 64.439 ns/op
Iteration  43: 64.445 ns/op
Iteration  44: 64.442 ns/op
Iteration  45: 64.467 ns/op
Iteration  46: 64.438 ns/op
Iteration  47: 64.465 ns/op
Iteration  48: 64.452 ns/op
Iteration  49: 64.439 ns/op
Iteration  50: 64.447 ns/op
Iteration  51: 64.451 ns/op
Iteration  52: 64.465 ns/op
Iteration  53: 64.449 ns/op
Iteration  54: 64.501 ns/op
Iteration  55: 64.492 ns/op
Iteration  56: 64.463 ns/op
Iteration  57: 64.546 ns/op
Iteration  58: 64.448 ns/op
Iteration  59: 64.448 ns/op
Iteration  60: 64.461 ns/op
Iteration  61: 64.471 ns/op
Iteration  62: 64.438 ns/op
Iteration  63: 64.464 ns/op
Iteration  64: 64.459 ns/op
Iteration  65: 64.433 ns/op
Iteration  66: 64.435 ns/op
Iteration  67: 64.516 ns/op
Iteration  68: 64.442 ns/op
Iteration  69: 64.441 ns/op
Iteration  70: 64.505 ns/op
Iteration  71: 64.502 ns/op
Iteration  72: 64.454 ns/op
Iteration  73: 64.495 ns/op
Iteration  74: 64.431 ns/op
Iteration  75: 64.434 ns/op
Iteration  76: 64.434 ns/op
Iteration  77: 64.684 ns/op
Iteration  78: 64.480 ns/op
Iteration  79: 64.445 ns/op
Iteration  80: 64.515 ns/op
Iteration  81: 64.429 ns/op
Iteration  82: 64.508 ns/op
Iteration  83: 64.448 ns/op
Iteration  84: 64.438 ns/op
Iteration  85: 64.447 ns/op
Iteration  86: 64.467 ns/op
Iteration  87: 64.480 ns/op
Iteration  88: 64.445 ns/op
Iteration  89: 64.458 ns/op
Iteration  90: 64.498 ns/op
Iteration  91: 64.443 ns/op
Iteration  92: 64.603 ns/op
Iteration  93: 65.255 ns/op
Iteration  94: 64.566 ns/op
Iteration  95: 64.442 ns/op
Iteration  96: 64.426 ns/op
Iteration  97: 64.450 ns/op
Iteration  98: 64.470 ns/op
Iteration  99: 64.435 ns/op
Iteration 100: 64.477 ns/op


Result "com.benchmark.DispatchBenchmarkNoJIT.chainDepth16":
  64.502 ±(99.9%) 0.071 ns/op [Average]
  (min, avg, max) = (64.426, 64.502, 66.311), stdev = 0.209
  CI (99.9%): [64.432, 64.573] (assumes normal distribution)


# JMH version: 1.37
# VM version: JDK 21.0.10, OpenJDK 64-Bit Server VM, 21.0.10+7-LTS
# VM invoker: /usr/lib/jvm/java-21-amazon-corretto.x86_64/bin/java
# VM options: -Xint
# Blackhole mode: compiler (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 3 iterations, 1 s each
# Measurement: 100 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: com.benchmark.DispatchBenchmarkNoJIT.chainDepth2

# Run progress: 22.22% complete, ETA 00:12:03
# Fork: 1 of 1
# Warmup Iteration   1: 64.483 ns/op
# Warmup Iteration   2: 64.566 ns/op
# Warmup Iteration   3: 64.514 ns/op
Iteration   1: 64.456 ns/op
Iteration   2: 64.485 ns/op
Iteration   3: 64.470 ns/op
Iteration   4: 64.503 ns/op
Iteration   5: 64.482 ns/op
Iteration   6: 64.479 ns/op
Iteration   7: 64.462 ns/op
Iteration   8: 64.471 ns/op
Iteration   9: 64.477 ns/op
Iteration  10: 64.471 ns/op
Iteration  11: 64.478 ns/op
Iteration  12: 64.472 ns/op
Iteration  13: 64.465 ns/op
Iteration  14: 64.498 ns/op
Iteration  15: 64.494 ns/op
Iteration  16: 64.570 ns/op
Iteration  17: 64.517 ns/op
Iteration  18: 64.477 ns/op
Iteration  19: 64.472 ns/op
Iteration  20: 64.486 ns/op
Iteration  21: 64.485 ns/op
Iteration  22: 64.462 ns/op
Iteration  23: 64.464 ns/op
Iteration  24: 64.504 ns/op
Iteration  25: 64.474 ns/op
Iteration  26: 64.490 ns/op
Iteration  27: 66.310 ns/op
Iteration  28: 64.476 ns/op
Iteration  29: 64.501 ns/op
Iteration  30: 64.509 ns/op
Iteration  31: 64.488 ns/op
Iteration  32: 64.486 ns/op
Iteration  33: 64.535 ns/op
Iteration  34: 64.498 ns/op
Iteration  35: 64.498 ns/op
Iteration  36: 64.503 ns/op
Iteration  37: 64.556 ns/op
Iteration  38: 64.466 ns/op
Iteration  39: 64.479 ns/op
Iteration  40: 64.476 ns/op
Iteration  41: 64.473 ns/op
Iteration  42: 64.466 ns/op
Iteration  43: 64.477 ns/op
Iteration  44: 64.480 ns/op
