# JMH version: 1.37
# VM version: JDK 21.0.10, OpenJDK 64-Bit Server VM, 21.0.10+7-LTS
# VM invoker: /usr/lib/jvm/java-21-amazon-corretto.x86_64/bin/java
# VM options: -Xint
# Blackhole mode: compiler (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 3 iterations, 1 s each
# Measurement: 100 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: com.benchmark.DispatchBenchmarkNoJIT.chainDepth128

# Run progress: 0.00% complete, ETA 00:15:27
# Fork: 1 of 1
# Warmup Iteration   1: 69.155 ns/op
# Warmup Iteration   2: 69.513 ns/op
# Warmup Iteration   3: 69.135 ns/op
Iteration   1: 69.138 ns/op
Iteration   2: 69.244 ns/op
Iteration   3: 69.189 ns/op
Iteration   4: 69.180 ns/op
Iteration   5: 69.182 ns/op
Iteration   6: 69.278 ns/op
Iteration   7: 69.218 ns/op
Iteration   8: 69.243 ns/op
Iteration   9: 69.175 ns/op
Iteration  10: 69.148 ns/op
Iteration  11: 69.156 ns/op
Iteration  12: 69.225 ns/op
Iteration  13: 69.140 ns/op
Iteration  14: 69.167 ns/op
Iteration  15: 69.192 ns/op
Iteration  16: 69.145 ns/op
Iteration  17: 69.176 ns/op
Iteration  18: 69.199 ns/op
Iteration  19: 69.223 ns/op
Iteration  20: 69.150 ns/op
Iteration  21: 69.240 ns/op
Iteration  22: 69.180 ns/op
Iteration  23: 69.369 ns/op
Iteration  24: 69.203 ns/op
Iteration  25: 70.710 ns/op
Iteration  26: 69.200 ns/op
Iteration  27: 69.157 ns/op
Iteration  28: 69.159 ns/op
Iteration  29: 69.165 ns/op
Iteration  30: 69.213 ns/op
Iteration  31: 69.167 ns/op
Iteration  32: 69.171 ns/op
Iteration  33: 69.293 ns/op
Iteration  34: 69.264 ns/op
Iteration  35: 69.211 ns/op
Iteration  36: 69.195 ns/op
Iteration  37: 69.161 ns/op
Iteration  38: 69.174 ns/op
Iteration  39: 69.168 ns/op
Iteration  40: 69.145 ns/op
Iteration  41: 69.171 ns/op
Iteration  42: 69.168 ns/op
Iteration  43: 69.155 ns/op
Iteration  44: 69.176 ns/op
Iteration  45: 69.154 ns/op
Iteration  46: 69.149 ns/op
Iteration  47: 69.171 ns/op
Iteration  48: 69.182 ns/op
Iteration  49: 69.196 ns/op
Iteration  50: 69.215 ns/op
Iteration  51: 69.151 ns/op
Iteration  52: 69.177 ns/op
Iteration  53: 69.176 ns/op
Iteration  54: 69.200 ns/op
Iteration  55: 69.169 ns/op
Iteration  56: 69.144 ns/op
Iteration  57: 69.172 ns/op
Iteration  58: 69.134 ns/op
Iteration  59: 69.142 ns/op
Iteration  60: 69.164 ns/op
Iteration  61: 69.157 ns/op
Iteration  62: 69.177 ns/op
Iteration  63: 69.166 ns/op
Iteration  64: 69.194 ns/op
Iteration  65: 69.199 ns/op
Iteration  66: 69.166 ns/op
Iteration  67: 69.190 ns/op
Iteration  68: 69.195 ns/op
Iteration  69: 69.156 ns/op
Iteration  70: 69.158 ns/op
Iteration  71: 69.158 ns/op
Iteration  72: 69.178 ns/op
Iteration  73: 69.177 ns/op
Iteration  74: 69.161 ns/op
Iteration  75: 69.170 ns/op
Iteration  76: 69.151 ns/op
Iteration  77: 69.151 ns/op
Iteration  78: 69.157 ns/op
Iteration  79: 69.166 ns/op
Iteration  80: 69.160 ns/op
Iteration  81: 69.147 ns/op
Iteration  82: 69.200 ns/op
Iteration  83: 69.222 ns/op
Iteration  84: 69.211 ns/op
Iteration  85: 69.180 ns/op
Iteration  86: 69.167 ns/op
Iteration  87: 69.157 ns/op
Iteration  88: 69.158 ns/op
Iteration  89: 69.155 ns/op
Iteration  90: 69.175 ns/op
Iteration  91: 69.156 ns/op
Iteration  92: 69.250 ns/op
Iteration  93: 69.200 ns/op
Iteration  94: 69.188 ns/op
Iteration  95: 69.318 ns/op
Iteration  96: 69.157 ns/op
