# JMH version: 1.37
# VM version: JDK 21.0.10, OpenJDK 64-Bit Server VM, 21.0.10+7-LTS
# VM invoker: /usr/lib/jvm/java-21-amazon-corretto.x86_64/bin/java
# VM options: <none>
# Blackhole mode: compiler (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 3 iterations, 1 s each
# Measurement: 100 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: com.benchmark.DispatchBenchmark.chainDepth128

# Run progress: 0.00% complete, ETA 00:30:54
# Fork: 1 of 1
# Warmup Iteration   1: 0.829 ns/op
# Warmup Iteration   2: 0.801 ns/op
# Warmup Iteration   3: 0.759 ns/op
Iteration   1: 0.758 ns/op
Iteration   2: 0.758 ns/op
Iteration   3: 0.758 ns/op
Iteration   4: 0.760 ns/op
Iteration   5: 0.758 ns/op
Iteration   6: 0.759 ns/op
Iteration   7: 0.758 ns/op
Iteration   8: 0.760 ns/op
Iteration   9: 0.759 ns/op
Iteration  10: 0.758 ns/op
Iteration  11: 0.758 ns/op
Iteration  12: 0.761 ns/op
Iteration  13: 0.759 ns/op
Iteration  14: 0.761 ns/op
Iteration  15: 0.758 ns/op
Iteration  16: 0.759 ns/op
Iteration  17: 0.758 ns/op
Iteration  18: 0.761 ns/op
Iteration  19: 0.758 ns/op
Iteration  20: 0.758 ns/op
Iteration  21: 0.758 ns/op
Iteration  22: 0.758 ns/op
Iteration  23: 0.758 ns/op
Iteration  24: 0.758 ns/op
Iteration  25: 0.757 ns/op
Iteration  26: 0.757 ns/op
Iteration  27: 0.758 ns/op
Iteration  28: 0.764 ns/op
Iteration  29: 0.758 ns/op
Iteration  30: 0.758 ns/op
Iteration  31: 0.757 ns/op
Iteration  32: 0.757 ns/op
Iteration  33: 0.761 ns/op
Iteration  34: 0.758 ns/op
Iteration  35: 0.758 ns/op
Iteration  36: 0.761 ns/op
Iteration  37: 0.758 ns/op
Iteration  38: 0.849 ns/op
Iteration  39: 0.758 ns/op
Iteration  40: 0.759 ns/op
Iteration  41: 0.757 ns/op
Iteration  42: 0.757 ns/op
Iteration  43: 0.759 ns/op
Iteration  44: 0.758 ns/op
Iteration  45: 0.759 ns/op
Iteration  46: 0.758 ns/op
Iteration  47: 0.758 ns/op
Iteration  48: 0.758 ns/op
Iteration  49: 0.759 ns/op
Iteration  50: 0.763 ns/op
Iteration  51: 0.757 ns/op
Iteration  52: 0.757 ns/op
Iteration  53: 0.759 ns/op
Iteration  54: 0.758 ns/op
